"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"115","2002","7","Maharashtra","Amarawati","0.0","14.1","0.7","1.3","0.0","245.0","19.2","193.3","143.1","37.6","2.7","0.0","657.0"
"115","2003","7","Maharashtra","Amarawati","0.0","7.1","6.3","2.7","0.0","135.7","291.9","171.5","123.9","12.0","0.7","0.0","751.8"
"115","2004","7","Maharashtra","Amarawati","18.7","0.0","0.0","0.0","9.3","90.0","161.3","230.2","80.0","34.9","29.0","0.0","653.4"
"115","2005","7","Maharashtra","Amarawati","10.7","6.4","32.3","11.5","0.0","96.6","250.1","183.5","232.1","61.3","0.0","0.0","884.5"
"115","2006","7","Maharashtra","Amarawati","0.0","0.0","118.8","23.4","23.0","66.7","260.8","327.6","138.1","43.9","4.7","0.0","1007.0"
"115","2007","7","Maharashtra","Amarawati","0.0","4.2","13.4","3.6","16.0","214.3","357.8","261.3","227.1","0.0","0.0","0.0","1097.7"
"115","2008","7","Maharashtra","Amarawati","0.0","0.0","8.0","9.0","2.0","75.0","173.4","128.9","170.8","28.8","5.0","0.0","600.9"
"115","2009","7","Maharashtra","Amarawati","0.0","0.0","0.0","0.0","6.0","70.5","301.7","110.6","87.5","37.9","0.0","0.0","614.2"
"115","2012","7","Maharashtra","Amarawati","3.2","0.0","0.0","6.4","12.0","147.4","282.4","243.5","316.1","25.0","0.4","0.1","1036.5"
"115","2013","7","Maharashtra","Amarawati","16.1","4.3","6.7","2.0","2.0","286.6","307.3","258.1","131.5","99.6","0.0","0.0","1114.2"
"115","2014","7","Maharashtra","Amarawati","0.9","24.7","29.0","1.3","0.1","56.9","378.1","135.8","201.1","11.8","11.5","5.6","856.8"
"115","2015","7","Maharashtra","Amarawati","50.0","8.1","82.7","17.2","2.7","221.5","125.2","304.3","107.2","1.6","0.0","0.0","920.5"
"115","2016","7","Maharashtra","Amarawati","0.2","6.7","6.6","0.0","14.5","127.6","478.4","133.6","191.0","64.8","0.0","0.0","1023.4"
"115","2017","7","Maharashtra","Amarawati","0.0","0.0","0.0","0.0","3.2","103.1","190.3","150.2","109.1","58.7","2.3","0.0","616.9"
"116","1990","7","Maharashtra","Yeotmal","0.0","0.0","3.9","0.0","69.9","287.1","298.9","433.4","75.9","141.2","1.8","1.3","1313.4"
"116","1991","7","Maharashtra","Yeotmal","0.0","0.0","0.0","3.0","0.6","153.4","225.3","182.3","14.6","8.8","12.2","0.0","600.2"
"116","1992","7","Maharashtra","Yeotmal","0.0","0.0","0.0","4.3","3.0","189.5","144.4","488.2","93.1","29.6","24.3","0.0","976.4"
"116","1993","7","Maharashtra","Yeotmal","0.0","0.0","0.0","0.0","0.0","140.5","316.6","193.8","95.3","68.6","0.0","0.0","814.8"
"116","1994","7","Maharashtra","Yeotmal","0.0","0.0","0.0","0.0","0.0","166.5","433.2","266.3","115.5","68.6","0.0","0.0","1050.1"
"116","1995","7","Maharashtra","Yeotmal","50.1","5.9","37.3","5.5","3.8","195.5","268.3","160.9","207.5","179.9","0.0","0.0","1114.7"
"116","1996","7","Maharashtra","Yeotmal","0.0","0.0","0.0","0.0","0.0","48.8","259.8","287.0","177.4","122.8","0.2","0.0","896.0"
"116","1997","7","Maharashtra","Yeotmal","34.3","0.0","63.5","0.0","0.0","113.0","179.2","142.8","226.5","24.0","61.1","86.8","931.2"
"116","1998","7","Maharashtra","Yeotmal","9.2","11.2","47.6","1.2","8.9","157.5","238.0","188.3","203.4","40.1","52.3","0.0","957.7"
"116","1999","7","Maharashtra","Yeotmal","0.0","6.0","0.0","0.0","15.1","244.2","179.4","197.5","173.5","92.4","0.0","0.0","908.1"
"116","2000","7","Maharashtra","Yeotmal","15.5","0.0","13.9","0.1","11.8","190.4","350.8","215.2","33.2","14.6","0.0","0.2","845.7"
"116","2001","7","Maharashtra","Yeotmal","8.5","0.0","5.1","3.5","1.1","236.1","93.6","347.6","19.1","100.9","1.6","0.0","817.1"
"116","2002","7","Maharashtra","Yeotmal","0.2","0.8","0.0","0.8","2.9","309.6","98.9","311.0","115.8","56.5","0.7","0.0","897.2"
"116","2003","7","Maharashtra","Yeotmal","0.0","0.4","0.9","0.0","0.5","144.8","370.6","230.6","68.8","22.5","1.4","0.0","840.5"
"116","2004","7","Maharashtra","Yeotmal","36.7","0.0","0.0","0.0","69.0","139.6","233.1","173.9","73.0","29.2","35.7","0.0","790.2"
"116","2005","7","Maharashtra","Yeotmal","81.8","14.0","18.8","11.0","13.8","164.8","488.1","257.2","164.8","79.9","0.0","1.3","1295.5"
"116","2006","7","Maharashtra","Yeotmal","0.0","0.0","57.6","14.0","27.9","112.0","351.7","403.8","205.3","106.8","10.9","0.0","1290.0"
"116","2007","7","Maharashtra","Yeotmal","0.0","0.0","4.6","1.0","14.4","122.0","250.4","176.0","216.1","5.4","6.2","0.0","796.1"
"116","2008","7","Maharashtra","Yeotmal","0.0","0.0","72.4","7.2","5.2","83.4","178.1","196.5","130.6","31.1","0.0","0.0","704.5"
"116","2009","7","Maharashtra","Yeotmal","0.0","0.0","1.2","0.0","10.2","99.4","142.3","128.1","108.3","10.0","0.0","0.0","499.5"
"116","2012","7","Maharashtra","Yeotmal","0.0","0.0","0.0","0.0","0.0","151.2","352.4","185.3","192.3","41.8","5.7","0.0","928.7"
"116","2013","7","Maharashtra","Yeotmal","1.9","7.7","2.0","2.8","0.0","343.9","479.4","242.0","108.6","129.0","0.2","0.0","1317.5"
"116","2014","7","Maharashtra","Yeotmal","0.0","9.3","70.4","1.6","0.8","59.1","206.1","209.9","202.6","3.8","0.0","0.0","763.6"
"116","2015","7","Maharashtra","Yeotmal","22.3","3.9","59.0","19.0","9.8","204.9","85.1","203.7","169.7","2.1","0.0","0.0","779.5"
"116","2016","7","Maharashtra","Yeotmal","0.0","4.7","18.2","2.6","10.5","194.2","410.3","97.7","170.8","68.3","0.0","0.0","977.3"
"116","2017","7","Maharashtra","Yeotmal","0.0","0.0","0.0","0.0","4.4","178.8","150.1","132.8","100.5","52.2","0.0","0.0","618.8"
"117","1990","7","Maharashtra","Wardha","3.6","0.0","13.3","0.3","97.6","369.5","264.4","481.1","42.1","127.7","2.0","24.3","1425.9"
"117","1991","7","Maharashtra","Wardha","7.2","0.0","2.6","2.4","1.7","206.5","296.7","113.3","15.7","0.3","8.4","0.0","654.8"
"117","1992","7","Maharashtra","Wardha","0.0","0.0","0.0","3.6","4.6","108.6","236.5","568.5","60.4","28.4","7.1","0.0","1017.7"
"117","1993","7","Maharashtra","Wardha","0.0","20.0","0.0","0.0","0.0","141.7","237.7","168.7","184.6","75.0","0.0","0.0","827.7"
"117","1994","7","Maharashtra","Wardha","0.0","10.1","0.0","0.0","0.0","205.4","489.9","249.2","314.7","125.7","0.0","0.0","1395.0"
"117","1995","7","Maharashtra","Wardha","40.6","12.5","53.0","8.5","3.5","200.9","288.5","109.4","235.3","64.8","0.0","0.1","1017.1"
"117","1996","7","Maharashtra","Wardha","0.0","1.7","0.5","5.8","0.0","25.3","225.9","257.4","135.7","111.9","4.5","0.0","768.7"
"117","1997","7","Maharashtra","Wardha","229.6","0.0","0.0","15.4","17.8","142.6","214.0","219.5","132.5","210.6","24.4","124.6","1331.0"
"117","1998","7","Maharashtra","Wardha","72.6","0.0","78.0","0.0","2.1","119.0","219.1","208.7","215.5","66.9","70.5","0.0","1052.4"
"117","1999","7","Maharashtra","Wardha","0.0","14.4","0.0","0.0","26.1","197.9","228.2","238.9","279.5","109.1","0.0","0.0","1094.1"
"117","2000","7","Maharashtra","Wardha","1.6","0.1","5.4","0.0","38.3","525.2","732.4","376.1","108.3","17.3","0.0","0.0","1804.7"
"117","2001","7","Maharashtra","Wardha","16.8","0.2","16.8","31.7","3.7","303.6","101.7","316.8","63.1","65.1","0.0","0.0","919.5"
"117","2002","7","Maharashtra","Wardha","1.9","2.0","0.2","6.3","20.4","381.6","23.2","265.8","115.4","43.0","0.8","0.0","860.6"
"117","2003","7","Maharashtra","Wardha","0.0","0.0","0.0","0.2","0.0","118.1","372.5","257.6","137.2","4.7","0.0","0.0","890.3"
"117","2004","7","Maharashtra","Wardha","66.0","0.0","0.0","0.0","20.0","178.0","235.7","236.2","90.5","15.6","16.7","0.0","858.7"
"117","2005","7","Maharashtra","Wardha","88.7","8.7","26.0","11.9","1.6","182.1","323.5","214.5","228.4","85.0","0.0","3.9","1174.3"
"117","2006","7","Maharashtra","Wardha","0.0","0.0","80.6","27.2","52.4","108.3","357.8","302.1","115.3","36.0","17.3","0.0","1097.0"
"117","2007","7","Maharashtra","Wardha","0.0","2.2","7.8","6.6","6.6","336.0","413.3","272.6","257.9","0.7","11.0","0.0","1314.7"
"117","2008","7","Maharashtra","Wardha","0.0","0.0","28.5","2.5","2.8","80.0","322.9","194.6","167.1","20.2","0.0","0.0","818.6"
"117","2009","7","Maharashtra","Wardha","0.0","0.0","0.0","3.8","19.0","78.1","290.8","162.8","87.1","23.7","0.0","0.0","665.3"
"117","2012","7","Maharashtra","Wardha","5.9","0.5","0.0","2.0","2.0","112.9","211.3","203.2","309.4","24.7","8.1","0.0","880.0"
"117","2013","7","Maharashtra","Wardha","16.5","16.3","5.8","7.5","0.0","306.9","495.1","168.9","94.4","115.9","0.0","0.0","1227.3"
"117","2014","7","Maharashtra","Wardha","0.0","19.7","41.3","0.3","4.0","73.0","400.5","119.5","172.2","22.9","3.8","0.0","857.2"
"117","2015","7","Maharashtra","Wardha","13.8","9.6","69.0","18.2","7.1","233.2","194.1","301.6","136.5","8.7","0.0","0.0","991.8"
"117","2016","7","Maharashtra","Wardha","0.7","11.0","21.5","0.6","11.4","175.9","485.3","148.3","155.8","61.4","0.0","0.0","1071.9"
"117","2017","7","Maharashtra","Wardha","0.0","0.0","0.3","0.0","8.1","211.2","219.0","162.5","165.0","46.8","0.0","0.0","812.9"
"118","1990","7","Maharashtra","Nagpur","0.0","0.0","0.0","3.6","47.5","210.6","219.0","306.4","101.4","76.5","0.0","13.8","978.8"
"118","1991","7","Maharashtra","Nagpur","16.4","3.0","6.5","5.3","2.7","149.1","396.3","225.1","21.3","0.5","11.7","0.0","837.9"
"118","1992","7","Maharashtra","Nagpur","0.0","0.2","0.6","6.4","2.3","185.0","251.3","443.5","93.5","11.9","2.7","0.0","997.4"
"118","1993","7","Maharashtra","Nagpur","0.0","25.5","72.9","0.0","20.7","189.7","381.5","231.4","199.0","73.5","0.0","0.0","1194.2"
"118","1994","7","Maharashtra","Nagpur","27.1","65.4","0.0","0.0","0.0","224.9","535.2","330.8","315.4","120.0","0.0","0.0","1618.8"
"118","1995","7","Maharashtra","Nagpur","39.6","6.5","64.0","15.1","6.9","139.7","357.2","179.2","228.1","35.8","0.0","0.7","1072.8"
"118","1996","7","Maharashtra","Nagpur","3.4","11.3","11.9","19.2","0.3","41.0","274.6","207.1","152.7","92.3","7.2","0.0","821.0"
"118","1997","7","Maharashtra","Nagpur","329.3","0.0","3.0","4.0","7.3","87.3","226.3","195.4","217.3","104.8","78.5","131.5","1384.7"
"118","1998","7","Maharashtra","Nagpur","21.2","41.6","44.2","8.5","8.0","104.0","180.5","247.8","210.4","49.8","81.0","0.0","997.0"
"118","1999","7","Maharashtra","Nagpur","0.0","23.9","0.0","0.0","26.0","175.5","232.6","297.5","301.3","98.2","0.0","0.0","1155.0"
"118","2000","7","Maharashtra","Nagpur","40.0","0.0","16.8","0.0","39.5","114.5","323.8","127.2","14.6","4.3","0.2","0.0","680.9"
"118","2001","7","Maharashtra","Nagpur","9.1","0.0","14.9","19.6","16.1","268.2","193.8","334.2","60.4","108.4","0.0","0.0","1024.7"
"118","2002","7","Maharashtra","Nagpur","4.8","4.7","2.0","2.4","21.0","293.7","78.6","312.0","99.6","36.9","6.8","0.7","863.2"
"118","2003","7","Maharashtra","Nagpur","0.0","0.0","0.0","0.0","12.2","165.2","455.5","276.0","149.7","9.7","0.0","0.0","1068.3"
"118","2004","7","Maharashtra","Nagpur","49.4","1.5","0.6","19.3","20.6","135.7","256.3","205.5","88.1","7.7","6.8","0.0","791.5"
"118","2005","7","Maharashtra","Nagpur","98.3","13.3","19.8","11.2","12.0","190.0","421.1","178.8","294.9","89.1","0.0","0.8","1329.3"
"118","2006","7","Maharashtra","Nagpur","0.0","0.0","91.0","25.8","39.2","108.5","344.3","296.1","145.6","7.9","18.0","0.0","1076.4"
"118","2007","7","Maharashtra","Nagpur","0.0","2.4","8.0","3.5","6.6","251.5","402.1","288.8","220.7","29.3","37.8","0.0","1250.7"
